"Registro ANS";"CNPJ";"Razão Social";"Nome Fantasia";"Modalidade";"Logradouro";"Número";"Complemento";"Bairro";"Cidade";"UF";"CEP";"DDD";"Telefone";"Fax";"Endereço eletrônico";"Representante";"Cargo Representante";"Data Registro ANS"
"418374";"11828089000103";" CAIXA DE ASSISTÊNCIA DO SETOR DE ENERGIA -EVIDA -ASSISTÊNCIA À SAÚDE";"E-VIDA";"Autogestão";"SETOR DE HABITAÇÕES COLETIVAS GEMINADAS ";"QUADRA 704/705";"BLOCO C, LOJA 48";"ASA NORTE";"Brasília";"DF";"70730630";"61";"39668300";"39668302";"governanca@evida.org.br";"ELI PINTO DE MELO JUNIOR";"PRESIDENTE";"12/01/2012"
"417734";"07525246000126";"ABBESS - ASSOCIAÇÃO BRASILEIRA DE BENEFICIOS E SEGURIDADE SOCIAL";"";"Administradora de Benefícios";"AV RIO BRANCO";"120";"PAVIMENTO 4 - SALA 426";"CENTRO";"Rio de Janeiro";"RJ";"20040001";"21";"22425532";"32244459";"abbess@ig.com.br";"MARCELO BRANDÃO ROCHA";"PRESIDENTE";"20/12/2010"
"314668";"17505793000101";"ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL";"ABERTTA SAÚDE";"Autogestão";"AV. BERNARDO MONTEIRO";"831";"Subsolo,salas 201 e 211 a 224 e 3º andar";"SANTA EFIGÊNIA";"Belo Horizonte";"MG";"30150281";"31";"32484300";"32484377";"abertta.ans@arcelormittal.com.br";"JOSÉ ANTÔNIO GIMENEZ";"PRESIDENTE";"28/12/1998"
"419621";"17687511000126";"ABPLUS ADMINISTRADORA DE BENEFÍCIOS LTDA.";"";"Administradora de Benefícios";"AVENIDA JOSÉ DA SILVA NETO";"200";"BLOCO 4, SALA 403";"BARRA DA TIJUCA";"Rio de Janeiro";"RJ";"22775056";"21";"35290061";"";"contato@abplus.com.br";"ROBERTO CARLOS MACHADO RODRIGUES";"ADMINISTRADOR";"13/11/2014"
"418901";"10458298000131";"AD SALUTE ADMINISTRADORA DE BENEFÍCIOS EIRELI";"AD SALUTE";"Administradora de Benefícios";"RUA BUENOS AIRES";"68";"SALA 2901";"CENTRO";"Rio de Janeiro";"RJ";"20070020";"21";"35531692";"";"LEONARDO@UNIMEDICASAUDE.COM";"JOÃO CARMO DA SILVEIRA";"ADMINISTRADOR";"13/06/2013"
"420671";"26134881000127";"ADDERE ADMINISTRADORA DE BENEFÍCIOS EIRELI";"ADDERE ADMINISTRADORA DE BENEFÍCIOS";"Administradora de Benefícios";"AV. DAS ARAUCÁRIAS";"LOTE 1835";"1905, 1955 E 2005, 4º PISO, SL 444/445";"SUL (ÁGUAS CLARAS) ";"Brasília";"DF";"71936250";"61";"982537447";"";"contato@addereadm.com";"JULIANA DOS SANTOS GONTIJO";"Sócia Administradora";"13/12/2016"
"417556";"09035280000148";"ADM ADMINISTRADORA DE BENEFÍCIOS EIRELI.";"";"Administradora de Benefícios";"RUA DOUTOR RUBENS GOMES BUENO";"691";"17° ANDAR - PARTE";"VARZEA DE BAIXO";"São Paulo";"SP";"04730903";"11";"47005033";"34911102";"br.juridico@aon.com.br";"LEONARDO CARNEIRO MARTINS COELHO";"DIRETOR ADJUNTO COMERCIAL";"21/09/2010"
"421553";"28315826000169";"ADM LIFE - ADMINISTRADORA DE BENEFÍCIOS LTDA.";"ADM LIFE";"Administradora de Benefícios";"AVENIDA PEDROSO DE MORAIS";"272";"CJ 96";"PINHEIROS";"São Paulo";"SP";"05420000";"11";"34769350";"";"cristiane@admlife.com.br";"NELITO JÚNIOR DE ALMEIDA SILVA";"Sócio Administrador";"09/01/2019"
"416932";"07867825000157";"ADMSERV BENEFÍCIOS E SERVIÇOS LTDA";"GÉIA ADMINISTRADORA DE BENEFICIOS";"Administradora de Benefícios";"RUA TRAIPU";"125";"";"PACAEMBU";"São Paulo";"SP";"01235000";"11";"26917601";"38281888";"fabio.oliveira@geia.com.br";"PEDRO OLIVEIRA OBLIZINER";"SÓCIO ADMINISTRADOR";"30/03/2009"
"422347";"37201454000130";"ADRESS ADMINISTRADORA DE BENEFICIOS LTDA";"ADRESS";"Administradora de Benefícios";"AVENIDA RIO BRANCO";"125";"15º ANDAR  SALA 1501";"CENTRO";"Rio de Janeiro";"RJ";"20040006";"21";"22524066";"";"contato@adress.com.br";"LAIR ISABEL BOHRER DIEDAM";"SÓCIA ADMINISTRADORA";"03/09/2020"
